"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2265","Можно выйти из аккаунта","tests","2026-09-23","passed","2026-09-23","TestAccount","test_account","",""
"","1025","Можно перейти в личный кабинет","tests","2026-09-23","passed","2026-09-23","TestAccount","test_account","",""
"","3780","Заказ из истории отображается в ленте заказов","tests","2026-09-23","passed","2026-09-23","TestOrderFeed","test_order_feed","",""
"","1822","Можно перейти в личный кабинет","tests","2026-09-23","passed","2026-09-23","TestAccount","test_account","",""
"","1453","Можно перейти в историю заказов","tests","2026-09-23","passed","2026-09-23","TestAccount","test_account","",""
"","1640","Кнопка показать пароль подсвечивает поле","tests","2026-09-23","passed","2026-09-23","TestPasswordRecovery","test_password_recovery","",""
"","197","Можно перейти в конструктор","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","2621","Номер оформленного заказа появляется в колонке Готовы","tests","2026-09-23","passed","2026-09-23","TestOrderFeed","test_order_feed","",""
"","2583","Номер оформленного заказа появляется в колонке Готовы","tests","2026-09-23","passed","2026-09-23","TestOrderFeed","test_order_feed","",""
"","810","Можно перейти на страницу восстановления пароля","tests","2026-09-23","passed","2026-09-23","TestPasswordRecovery","test_password_recovery","",""
"","1398","Можно перейти в историю заказов","tests","2026-09-23","passed","2026-09-23","TestAccount","test_account","",""
"","51","Счетчик ингредиента увеличивается при добавлении в заказ","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","3172","Счетчик Выполнено за сегодня увеличивается","tests","2026-09-23","passed","2026-09-23","TestOrderFeed","test_order_feed","",""
"","3621","Счетчик Выполнено за все время увеличивается","tests","2026-09-23","passed","2026-09-23","TestOrderFeed","test_order_feed","",""
"","1079","Клик по заказу открывает окно с деталями","tests","2026-09-23","passed","2026-09-23","TestOrderFeed","test_order_feed","",""
"","1959","Можно выйти из аккаунта","tests","2026-09-23","passed","2026-09-23","TestAccount","test_account","",""
"","1377","Можно ввести почту и нажать Восстановить","tests","2026-09-23","passed","2026-09-23","TestPasswordRecovery","test_password_recovery","",""
"","3211","Счетчик Выполнено за все время увеличивается","tests","2026-09-23","passed","2026-09-23","TestOrderFeed","test_order_feed","",""
"","3014","Авторизованный пользователь может оформить заказ","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","31","Клик по ингредиенту открывает окно с деталями","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","833","Можно перейти на страницу восстановления пароля","tests","2026-09-23","passed","2026-09-23","TestPasswordRecovery","test_password_recovery","",""
"","4121","Заказ из истории отображается в ленте заказов","tests","2026-09-23","passed","2026-09-23","TestOrderFeed","test_order_feed","",""
"","863","Клик по заказу открывает окно с деталями","tests","2026-09-23","passed","2026-09-23","TestOrderFeed","test_order_feed","",""
"","108","Можно перейти в ленту заказов","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","373","Окно с деталями ингредиента закрывается по крестику","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","6757","Счетчик Выполнено за сегодня увеличивается","tests","2026-09-23","passed","2026-09-23","TestOrderFeed","test_order_feed","",""
"","1934","Авторизованный пользователь может оформить заказ","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","106","Окно с деталями ингредиента закрывается по крестику","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","201","Можно перейти в ленту заказов","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","43","Клик по ингредиенту открывает окно с деталями","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","181","Можно перейти в конструктор","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","1035","Можно ввести почту и нажать Восстановить","tests","2026-09-23","passed","2026-09-23","TestPasswordRecovery","test_password_recovery","",""
"","74","Счетчик ингредиента увеличивается при добавлении в заказ","tests","2026-09-23","passed","2026-09-23","TestMain","test_main","",""
"","1341","Кнопка показать пароль подсвечивает поле","tests","2026-09-23","passed","2026-09-23","TestPasswordRecovery","test_password_recovery","",""
